destination,region,accessibility,popularity_score,ideal_days,budget_daily_min,budget_daily_max,mid_daily_min,mid_daily_max,luxury_daily_min,luxury_daily_max
Rishikesh & Haridwar (Himalayan Yoga Route),North India,Easy,10,3,1100,2950,2500,5700,5100,19200
Varanasi Ganga Ghats Pilgrimage,North India,Easy,10,3,1300,3350,2700,6200,5500,21300
Bodh Gaya Buddhist Circuit Hub,East India,Moderate,9,3,1300,3250,2700,6000,5200,15300
Rameswaram & Pamban Coast (Sacred Water Walk),South India,Moderate,8,2,1200,2850,2400,5450,4800,12700
Hampi & Pattadakal (UNESCO Vijayanagara–Chalukya Circuit),South India,Moderate,9,3,1550,3800,3200,7200,6400,19300
Gulmarg (Kashmir Ski & Snow Destination),North India,Moderate,9,3,3600,7600,6400,13500,12200,32700
Auli (Garhwal Ski & Snow Resort),North India,Difficult,8,3,2800,5900,5000,10900,9800,23100
Tiruvannamalai & Arunachala (Inner Fire Journey),South India,Moderate,7,3,1000,2600,2100,4700,4100,11200
Amarkantak Nature–Spiritual Loop,Central India,Moderate,6,2,1050,2700,2200,4800,4200,10300
Haridwar–Rishikesh–Char Dham Spiritual Trail (Meta‑Circuit Node),North India,Moderate,10,2,1050,2750,2300,5100,4700,17800
